level,groupName,intentCluster,actionType,suggestedDelta,roas,cost,intentConfidence,sourceIntent,rationale,evidenceTopK,currencyCode,dateStart,dateEnd
Portfolio,,Mixed,Reallocate Budget,0.0,3.403,1649.58,,Aggregate,"Move $1,650 from 5 low-ROAS groups to 3 high-ROAS groups (expected lift ≈ $4,446).",From: US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147 (-$835) ; US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132 (-$592) ; US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156 (-$100) ; CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328 (-$63) ; CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730 (-$59) | To: US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331 (+$550) ; US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872 (+$550) ; US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869 (+$550),CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,Comparison,Split/Refactor,0.0,2.42,7828.82,0.345,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -54% WoW, Cost -19%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,Comparison,Split/Refactor,0.0,3.209,7771.37,0.355,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -42% WoW, Cost -7%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,Comparison,Split/Refactor,0.0,2.927,7337.64,0.355,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -40% WoW, Cost -11%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,Comparison,Split/Refactor,0.0,4.072,421.0,0.245,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS +100% WoW, Cost +100%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | tempur pedic active breeze review | sleep number cooling mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,Comparison,Split/Refactor,0.0,0.0,176.78,0.372,CAMP_TERM_INSIGHTS,"Evidence suggests Comparison intent; test a dedicated Comparison asset group + creatives. Momentum: ROAS +0% WoW, Cost +100%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,Comparison,Increase,0.15,1.95,8352.55,0.474,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS -29% WoW, Cost -24%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,Comparison,Increase,0.15,1.587,5923.23,0.468,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS -31% WoW, Cost -49%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,Comparison,Increase,0.15,2.701,5083.11,0.47,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS +32% WoW, Cost -56%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,3.956,1497.03,,CREATIVE,"Fatigued asset: CTR -20%, CVR -38% vs prev window. Label=UNKNOWN.",Cooling Mattress Topper,CAD,2025-07-02,2025-09-29
